"id","subject","topic","question","option_a","option_b","option_c","option_d","correct_answer","explanation","year","difficulty","exam_type","tags","status","passage_id","passage_text"
"23","Mathematics","Geometry","Find the perimeter of a square with side length 6cm.","12 cm","18 cm","24 cm","36 cm","C","Perimeter of a square = 4 x side length = 4 x 6 = 24 cm","","Easy","Practice","perimeter","published","",""
"24","Mathematics","Geometry","Find the circumference of a circle with radius 7cm. (Use pi = 22/7)","22 cm","44 cm","14 cm","49 cm","B","Circumference = 2 x pi x r = 2 x (22/7) x 7 = 44 cm","","Medium","Practice","circles","published","",""
"25","Mathematics","Geometry","Find the area of a circle with radius 7cm. (Use pi = 22/7)","154 cm^2","44 cm^2","49 cm^2","22 cm^2","A","Area of a circle = pi x r^2 = (22/7) x 7 x 7 = 154 cm^2","","Medium","Practice","circles","published","",""
"26","Mathematics","Geometry","Two angles that add up to 90 degrees are called","Supplementary angles","Complementary angles","Vertical angles","Reflex angles","B","Complementary angles are two angles whose sum equals 90 degrees","","Medium","Practice","angles","published","",""
"27","Mathematics","Geometry","Two angles that add up to 180 degrees are called","Complementary angles","Supplementary angles","Corresponding angles","Alternate angles","B","Supplementary angles are two angles whose sum equals 180 degrees","","Medium","Practice","angles","published","",""
"28","Mathematics","Trigonometry","In a right-angled triangle, sine of an angle is defined as","Opposite over hypotenuse","Adjacent over hypotenuse","Opposite over adjacent","Hypotenuse over opposite","A","Sine of an angle equals the length of the opposite side divided by the hypotenuse","","Medium","Practice","trig-ratios","published","",""
"29","Mathematics","Trigonometry","In a right-angled triangle, cosine of an angle is defined as","Opposite over hypotenuse","Adjacent over hypotenuse","Opposite over adjacent","Hypotenuse over adjacent","B","Cosine of an angle equals the length of the adjacent side divided by the hypotenuse","","Medium","Practice","trig-ratios","published","",""
"30","Mathematics","Trigonometry","In a right-angled triangle, tangent of an angle is defined as","Opposite over hypotenuse","Adjacent over hypotenuse","Opposite over adjacent","Adjacent over opposite","C","Tangent of an angle equals the length of the opposite side divided by the adjacent side","","Medium","Practice","trig-ratios","published","",""
"31","Mathematics","Trigonometry","What is the value of sin(30 degrees)?","0","0.5","1","1.5","B","Sin(30 degrees) is a standard trigonometric value equal to 0.5 or 1/2","","Medium","Practice","trig-values","published","",""
"32","Mathematics","Trigonometry","What is the value of cos(60 degrees)?","0","0.5","1","0.866","B","Cos(60 degrees) is a standard trigonometric value equal to 0.5 or 1/2","","Medium","Practice","trig-values","published","",""
"33","Mathematics","Trigonometry","Pythagoras' theorem states that in a right-angled triangle","The sum of all angles equals 90 degrees","The square of the hypotenuse equals the sum of squares of the other two sides","All sides are equal","The hypotenuse equals the sum of the other two sides","B","Pythagoras' theorem states that hypotenuse^2 = opposite^2 + adjacent^2 in a right-angled triangle","","Medium","Practice","pythagoras","published","",""
"34","Mathematics","Trigonometry","Find the hypotenuse of a right-angled triangle with legs 3cm and 4cm.","5 cm","6 cm","7 cm","12 cm","A","Using Pythagoras' theorem: hypotenuse = √(3^2 + 4^2) = √(9+16) = √25 = 5 cm","","Medium","Practice","pythagoras","published","",""
"35","Mathematics","Statistics","The mean of a set of numbers is calculated as","The middle value when arranged in order","The sum of all values divided by the number of values","The value that occurs most frequently","The difference between the highest and lowest values","B","The mean, or average, is found by dividing the sum of all values by the total number of values","","Easy","Practice","measures-of-central-tendency","published","",""
"36","Mathematics","Statistics","The median of a data set is","The value that occurs most often","The average of all values","The middle value when data is arranged in order","The range of the data","C","The median is the middle value of a data set once the values are arranged in ascending or descending order","","Easy","Practice","measures-of-central-tendency","published","",""
"37","Mathematics","Statistics","The mode of a data set is","The middle value","The average value","The value that occurs most frequently","The sum of all values","C","The mode is the value that appears most often in a given data set","","Easy","Practice","measures-of-central-tendency","published","",""
"38","Mathematics","Statistics","Find the mean of the numbers: 4, 6, 8, 10, 12","6","8","10","40","B","Mean = (4+6+8+10+12)/5 = 40/5 = 8","","Medium","Practice","measures-of-central-tendency","published","",""
"39","Mathematics","Statistics","Find the range of the data set: 12, 5, 9, 20, 3","20","17","9","15","B","Range = highest value - lowest value = 20 - 3 = 17","","Medium","Practice","range","published","",""
"40","Mathematics","Statistics","In probability, the probability of an event that is certain to happen is","0","0.5","1","Undefined","C","An event that is certain to occur has a probability of exactly 1","","Medium","Practice","probability-basics","published","",""
"41","Mathematics","Statistics","If a fair coin is tossed once, the probability of getting a head is","0","1/4","1/2","1","C","A fair coin has two equally likely outcomes, so the probability of getting a head is 1/2","","Easy","Practice","probability-basics","published","",""
"42","Mathematics","Statistics","A single fair die is rolled once. What is the probability of getting a number greater than 4?","1/6","1/3","1/2","2/3","B","Numbers greater than 4 on a die are 5 and 6, giving 2 favorable outcomes out of 6, which simplifies to 1/3","","Medium","Practice","probability-calculations","published","",""
"43","Mathematics","Commercial Arithmetic","A trader buys an item for N2000 and sells it for N2500. Find the profit percentage.","20%","25%","30%","50%","B","Profit = 2500 - 2000 = 500. Profit percent = (500/2000) x 100 = 25%","","Medium","Practice","profit-and-loss","published","",""
"44","Mathematics","Commercial Arithmetic","A shopkeeper buys goods for N5000 and sells them at a loss of 10%. Find the selling price.","N4500","N4000","N5500","N4900","A","Loss of 10% of 5000 = 500, so selling price = 5000 - 500 = N4500","","Medium","Practice","profit-and-loss","published","",""
"45","Mathematics","Commercial Arithmetic","Find the simple interest on N10,000 for 2 years at a rate of 5% per annum.","N500","N1000","N1500","N2000","B","Simple Interest = (Principal x Rate x Time)/100 = (10000 x 5 x 2)/100 = N1000","","Medium","Practice","simple-interest","published","",""
"46","Mathematics","Commercial Arithmetic","A commission agent earns 5% commission on sales. Find the commission on sales of N40,000.","N200","N2000","N4000","N20,000","B","Commission = 5% of 40000 = (5/100) x 40000 = N2000","","Medium","Practice","commission","published","",""
