"id","subject","topic","question","option_a","option_b","option_c","option_d","correct_answer","explanation","year","difficulty","exam_type","tags","status"
"16","Economics","Supply","An increase in the cost of raw materials will most likely cause supply to","Increase","Decrease","Stay constant","Become perfectly elastic","B","Higher input costs raise production costs and reduce the quantity firms are willing to supply","","Medium","Practice","supply-shift","published"
"17","Economics","Supply","Which of these would cause a rightward shift in the supply curve?","A rise in the price of inputs","An improvement in production technology","An increase in taxation on producers","A natural disaster affecting production","B","Better technology lowers production costs and increases supply at every price level","","Medium","Practice","supply-shift","published"
"18","Economics","Supply","Joint supply refers to a situation where","One good is produced as a byproduct of another","Two goods are consumed together","Two goods compete for the same resource","Supply of a good is fixed","A","Joint supply occurs when producing one good automatically produces another, such as beef and hide","","Medium","Practice","joint-supply","published"
"19","Economics","Supply","Composite supply exists when","A good has only one use","A good can satisfy more than one demand","A good is supplied by only one firm","Supply is perfectly inelastic","B","Composite supply occurs when a single good can be used to satisfy several different demands","","Medium","Practice","composite-supply","published"
"20","Economics","Supply","The market supply curve is obtained by","Averaging individual supply curves","Horizontally summing individual firms' supply curves","Subtracting demand from supply","Dividing total output by number of firms","B","Market supply is the horizontal summation of the quantities supplied by all individual firms at each price","","Medium","Practice","market-supply","published"
"21","Economics","Price Determination","Equilibrium price is the price at which","Quantity demanded exceeds quantity supplied","Quantity supplied exceeds quantity demanded","Quantity demanded equals quantity supplied","Price is fixed by government","C","Equilibrium price occurs where the quantity buyers wish to purchase equals the quantity sellers wish to sell","","Easy","Practice","equilibrium","published"
"22","Economics","Price Determination","A price floor set above equilibrium price will most likely result in","A shortage","A surplus","No effect on the market","A decrease in supply","B","A price floor above equilibrium encourages more supply than demand, creating a surplus","","Medium","Practice","price-controls","published"
"23","Economics","Price Determination","A price ceiling set below equilibrium price will most likely result in","A surplus","A shortage","Excess supply","No change in demand","B","A price ceiling below equilibrium discourages supply while encouraging demand, creating a shortage","","Medium","Practice","price-controls","published"
"24","Economics","Price Determination","When there is excess demand in a market, price tends to","Fall","Rise","Remain constant","Become zero","B","Excess demand puts upward pressure on price until a new equilibrium is reached","","Medium","Practice","equilibrium","published"
"25","Economics","Price Determination","Government intervention to fix a minimum price for a commodity is called","A price ceiling","A price floor","A subsidy","A tariff","B","A price floor is a legally established minimum price, often used to protect producers","","Medium","Practice","price-controls","published"
"26","Economics","Price Determination","Which of these best describes a subsidy?","A tax imposed on producers","A payment by government to reduce production cost or price","A restriction on imports","A fixed maximum price","B","A subsidy is financial assistance from the government that lowers the cost of production or price to consumers","","Medium","Practice","subsidy","published"
"27","Economics","Production","Production is best defined as","The buying and selling of goods","The creation of goods and services to satisfy human wants","The storage of raw materials","The distribution of income","B","Production refers to the process of creating goods and services that satisfy human wants","","Easy","Practice","production-basics","published"
"28","Economics","Production","The stage of production concerned with extracting raw materials is called","Primary production","Secondary production","Tertiary production","Quaternary production","A","Primary production involves the extraction of raw materials such as mining, farming, and fishing","","Easy","Practice","stages-of-production","published"
"29","Economics","Production","Manufacturing raw materials into finished goods belongs to which stage of production?","Primary","Secondary","Tertiary","Quaternary","B","Secondary production involves processing and manufacturing raw materials into finished goods","","Easy","Practice","stages-of-production","published"
"30","Economics","Production","Services such as banking, transport, and insurance belong to which stage of production?","Primary","Secondary","Tertiary","None of the above","C","Tertiary production covers services that support the distribution and consumption of goods","","Easy","Practice","stages-of-production","published"
"31","Economics","Production","Division of labour refers to","Sharing profits among workers","Breaking production into separate specialized tasks","Dividing land among farmers","Reducing the number of workers","B","Division of labour is the splitting of a production process into distinct specialized tasks performed by different workers","","Medium","Practice","division-of-labour","published"
"32","Economics","Production","A major disadvantage of division of labour is","Increased efficiency","Monotony and loss of job satisfaction","Lower output","Higher production cost","B","Repetitive specialized tasks can lead to boredom and reduced worker satisfaction despite efficiency gains","","Medium","Practice","division-of-labour","published"
"33","Economics","Cost and Revenue","Fixed cost is a cost that","Varies directly with output","Remains constant regardless of the level of output","Increases only when output falls","Is incurred only in the long run","B","Fixed costs, such as rent, do not change with the level of output in the short run","","Medium","Practice","cost-concepts","published"
"34","Economics","Cost and Revenue","Variable cost is best described as a cost that","Remains the same at all levels of output","Changes directly with the level of output","Is only paid once","Cannot be measured","B","Variable costs, such as raw materials and wages of casual workers, rise and fall with output","","Medium","Practice","cost-concepts","published"
"35","Economics","Cost and Revenue","Average cost is calculated as","Total cost divided by total output","Total cost minus total revenue","Total revenue divided by output","Fixed cost divided by variable cost","A","Average cost equals total cost divided by the quantity of output produced","","Medium","Practice","cost-concepts","published"
"36","Economics","Cost and Revenue","Marginal cost refers to","The cost of the first unit produced","The additional cost of producing one more unit","The total cost of production","The average fixed cost","B","Marginal cost is the extra cost incurred from producing one additional unit of output","","Medium","Practice","cost-concepts","published"
"37","Economics","Cost and Revenue","Total revenue is calculated as","Price minus quantity sold","Price multiplied by quantity sold","Price divided by quantity sold","Quantity sold minus cost","B","Total revenue equals the price per unit multiplied by the number of units sold","","Easy","Practice","revenue-concepts","published"
"38","Economics","Cost and Revenue","A firm makes normal profit when","Total revenue exceeds total cost","Total revenue equals total cost","Total revenue is less than total cost","Total cost is zero","B","Normal profit occurs when total revenue just covers total cost, including opportunity cost of the entrepreneur","","Medium","Practice","profit-concepts","published"
"39","Economics","Market Structures","A market with many buyers and sellers, homogeneous products, and free entry and exit is known as","Monopoly","Perfect competition","Oligopoly","Monopsony","B","Perfect competition is characterized by many participants, identical products, and no barriers to entry or exit","","Medium","Practice","market-types","published"
"40","Economics","Market Structures","A monopoly market is characterized by","Many small firms","A single seller with no close substitutes","Two dominant firms","Perfect information for all buyers","B","Monopoly exists where one firm is the sole supplier of a good with no close substitutes","","Easy","Practice","market-types","published"
"41","Economics","Market Structures","An oligopoly is a market structure with","Only one seller","A few large firms dominating the market","Perfect competition among many sellers","No barriers to entry","B","Oligopoly refers to a market dominated by a small number of large interdependent firms","","Medium","Practice","market-types","published"
"42","Economics","Market Structures","Monopolistic competition differs from perfect competition mainly because","Products are homogeneous","Products are differentiated","There is only one seller","There are no buyers","B","In monopolistic competition, firms sell differentiated products, giving each some control over price","","Medium","Practice","market-types","published"
"43","Economics","Market Structures","A monopsony describes a market situation with","Many buyers and one seller","One buyer and many sellers","Many buyers and many sellers","No buyers at all","B","Monopsony exists when there is a single dominant buyer facing many sellers in a market","","Medium","Practice","market-types","published"
"44","Economics","Market Structures","Barriers to entry are most significant in","Perfect competition","Monopoly","Monopolistic competition","None of the above","B","Monopolies are sustained by high barriers to entry such as legal restrictions, patents, or control of resources","","Medium","Practice","market-types","published"
"45","Economics","Market Structures","Price discrimination is most commonly associated with","Perfect competition","Monopoly","Monopolistic competition only","Subsistence economies","B","Monopolists, due to their market power, can charge different prices to different customer groups for the same product","","Medium","Practice","price-discrimination","published"
"46","Economics","National Income","Gross Domestic Product (GDP) measures","The value of goods and services produced within a country's borders in a period","The income earned by citizens living abroad","Government spending only","The total value of exports","A","GDP is the total market value of all final goods and services produced within a country's borders over a given period","","Medium","Practice","gdp","published"
"47","Economics","National Income","Gross National Product (GNP) differs from GDP because it includes","Only domestic production","Income earned by citizens abroad but excludes foreign residents' income earned domestically","Government expenditure only","Only agricultural output","B","GNP includes income earned by a country's citizens abroad, while excluding income earned domestically by foreigners","","Medium","Practice","gnp","published"
"48","Economics","National Income","Per capita income is obtained by","Dividing national income by total population","Multiplying GDP by population","Subtracting taxes from GDP","Dividing GDP by exports","A","Per capita income equals total national income divided by the population, showing average income per person","","Easy","Practice","per-capita-income","published"
"49","Economics","National Income","Which method of calculating national income sums up wages, rent, interest, and profit?","Output method","Income method","Expenditure method","Value added method","B","The income method calculates national income by adding all factor incomes: wages, rent, interest and profit","","Medium","Practice","national-income-methods","published"
"50","Economics","National Income","The expenditure method of calculating national income sums up","Wages and rent only","Consumption, investment, government spending, and net exports","Only consumer spending","Only exports","B","The expenditure method adds consumption, investment, government expenditure, and net exports to obtain national income","","Medium","Practice","national-income-methods","published"
"51","Economics","National Income","Double counting in national income accounting can be avoided by","Adding up total sales of all firms","Using the value added method","Ignoring the service sector","Counting only exports","B","The value added method avoids double counting by only including the value added at each stage of production","","Medium","Practice","national-income-methods","published"
"52","Economics","Money and Banking","The main function of the Central Bank in an economy is to","Accept deposits from individuals only","Control and regulate the money supply","Sell consumer goods","Set retail prices","B","The Central Bank's core role is monetary policy, including regulating money supply and controlling inflation","","Medium","Practice","central-bank","published"
"53","Economics","Money and Banking","Which of the following is NOT a function of commercial banks?","Accepting deposits","Granting loans","Issuing legal tender currency","Providing overdraft facilities","C","Issuing legal tender currency is a function of the Central Bank, not commercial banks","","Easy","Practice","commercial-banks","published"
"54","Economics","Money and Banking","Money is best defined as","Any commodity with intrinsic value","Anything generally accepted as a medium of exchange","Gold and silver only","A form of taxation","B","Money is anything widely accepted in exchange for goods and services and as a measure of value","","Easy","Practice","functions-of-money","published"
"55","Economics","Money and Banking","Which of these is NOT a function of money?","Medium of exchange","Store of value","Unit of account","Factor of production","D","Money functions as a medium of exchange, store of value, and unit of account, but it is not itself a factor of production","","Medium","Practice","functions-of-money","published"
"56","Economics","Money and Banking","Inflation targeting by a Central Bank is an example of","Fiscal policy","Monetary policy","Trade policy","Agricultural policy","B","Controlling inflation through interest rates and money supply is a core tool of monetary policy","","Medium","Practice","monetary-policy","published"
"57","Economics","Money and Banking","The rate at which the Central Bank lends to commercial banks is known as","Prime lending rate","Monetary policy rate","Exchange rate","Value added tax rate","B","The monetary policy rate (or discount rate) is the rate the Central Bank charges commercial banks for loans","","Medium","Practice","monetary-policy","published"
"58","Economics","Money and Banking","Which of the following best describes barter?","Exchange of goods and services for money","Direct exchange of goods and services without money","A form of modern banking","A government tax system","B","Barter is the direct exchange of goods and services for other goods and services without the use of money","","Easy","Practice","barter","published"
"59","Economics","Inflation","Inflation is best described as","A one-time rise in the price of one good","A persistent rise in the general price level","A fall in the general price level","An increase in the value of money","B","Inflation refers to a sustained increase in the average level of prices in an economy over time","","Easy","Practice","inflation-definition","published"
"60","Economics","Inflation","Demand-pull inflation occurs when","Production costs rise sharply","Aggregate demand exceeds the economy's productive capacity","The government reduces the money supply","Wages fall across all sectors","B","Demand-pull inflation arises when total demand in an economy outstrips available supply, pushing prices up","","Medium","Practice","types-of-inflation","published"
"61","Economics","Inflation","Cost-push inflation is primarily caused by","A rise in consumer demand","An increase in production costs such as wages or raw materials","A decrease in taxation","An increase in the money supply only","B","Cost-push inflation results from rising production costs being passed on to consumers as higher prices","","Medium","Practice","types-of-inflation","published"
"62","Economics","Inflation","Hyperinflation refers to","A mild and stable rise in prices","An extremely rapid and out-of-control rise in prices","A fall in prices over time","Stable prices with rising output","B","Hyperinflation describes an extremely high and typically accelerating rate of inflation that erodes money's value","","Medium","Practice","types-of-inflation","published"
"63","Economics","Inflation","One major effect of inflation on an economy is","Increased purchasing power of money","Reduced purchasing power of money","Guaranteed higher real wages","Elimination of unemployment","B","Inflation erodes the purchasing power of money, meaning the same amount buys fewer goods and services","","Medium","Practice","effects-of-inflation","published"
"64","Economics","Inflation","Which policy is commonly used by government to control inflation?","Increasing the money supply","Contractionary monetary policy such as raising interest rates","Reducing taxes for all citizens","Increasing government subsidies broadly","B","Raising interest rates reduces borrowing and spending, helping to control demand-pull inflation","","Medium","Practice","controlling-inflation","published"
"65","Economics","Public Finance","Government revenue obtained from citizens and businesses for public spending is called","Subsidy","Taxation","Deficit financing","Devaluation","B","Taxation is a compulsory levy imposed by government on individuals and firms to raise public revenue","","Easy","Practice","taxation","published"
"66","Economics","Public Finance","A tax whose rate increases as income increases is called","Regressive tax","Progressive tax","Proportional tax","Indirect tax","B","A progressive tax takes a larger percentage of income from higher income earners than lower income earners","","Medium","Practice","tax-types","published"
"67","Economics","Public Finance","A tax that takes the same proportion of income regardless of income level is called","Progressive tax","Regressive tax","Proportional tax","Ad valorem tax","C","A proportional tax charges the same percentage rate on income or value regardless of the amount","","Medium","Practice","tax-types","published"
"68","Economics","Public Finance","Value Added Tax (VAT) is an example of","A direct tax","An indirect tax","A progressive tax only","A capital gains tax","B","VAT is levied on goods and services and paid indirectly by consumers through the price of purchases","","Medium","Practice","tax-types","published"
"69","Economics","Public Finance","A budget deficit occurs when","Government revenue exceeds expenditure","Government expenditure exceeds revenue","Revenue equals expenditure exactly","There is no government spending","B","A budget deficit occurs when a government's total expenditure is greater than its total revenue in a period","","Medium","Practice","government-budget","published"
"70","Economics","Public Finance","Deficit financing most commonly involves the government","Reducing all forms of taxation","Borrowing to cover the gap between revenue and expenditure","Increasing exports only","Abolishing public spending","B","Deficit financing refers to government borrowing, often from the Central Bank or public, to fund a budget shortfall","","Medium","Practice","government-budget","published"
"71","Economics","International Trade","International trade refers to","Trade between individuals in the same country","The exchange of goods and services between countries","Trade restricted to state governments","Barter within a local market","B","International trade is the exchange of goods and services across national borders","","Easy","Practice","international-trade-basics","published"
"72","Economics","International Trade","The theory of comparative advantage suggests that countries should","Produce everything they need domestically","Specialize in goods they can produce at the lowest opportunity cost","Avoid trading with other nations","Import all goods regardless of cost","B","Comparative advantage means a country should specialize in producing goods where its opportunity cost is lowest, then trade","","Medium","Practice","comparative-advantage","published"
"73","Economics","International Trade","A tariff is best described as","A subsidy given to exporters","A tax imposed on imported goods","A fixed exchange rate","A ban on all imports","B","A tariff is a tax levied by government on goods imported from other countries","","Medium","Practice","trade-policy","published"
"74","Economics","International Trade","A quota in international trade refers to","A tax on exports","A physical limit on the quantity of a good that can be imported","A subsidy for local producers","An exchange rate adjustment","B","A quota restricts the quantity of a specific good that may be imported into a country over a period","","Medium","Practice","trade-policy","published"
"75","Economics","International Trade","A favourable balance of trade exists when a country's","Imports exceed its exports","Exports exceed its imports","Imports equal its exports exactly","Currency has no value","B","A favourable balance of trade, or trade surplus, occurs when the value of exports exceeds the value of imports","","Medium","Practice","balance-of-trade","published"
"76","Economics","International Trade","Devaluation of a currency is intended mainly to","Make exports more expensive and imports cheaper","Make exports cheaper and imports more expensive","Fix the exchange rate permanently","Eliminate all foreign trade","B","Devaluation lowers the value of a currency, making a country's exports cheaper and imports more expensive abroad","","Medium","Practice","exchange-rate","published"
"77","Economics","Economic Development","Economic growth is best defined as","An increase in a country's real output over time","A decrease in unemployment only","An improvement in income distribution only","A rise in the price level","A","Economic growth refers to a sustained increase in a country's real output of goods and services over time","","Medium","Practice","economic-growth","published"
"78","Economics","Economic Development","Economic development differs from economic growth in that it also considers","Only the rate of inflation","Improvements in living standards, health, and education alongside output growth","Only military strength","Only the exchange rate","B","Economic development is a broader concept including improvements in wellbeing, not just increases in output","","Medium","Practice","economic-development","published"
"79","Economics","Economic Development","A common characteristic of developing economies is","High income per capita","Heavy dependence on a narrow range of primary exports","Advanced industrial technology","Low population growth","B","Many developing economies rely heavily on the export of a limited range of primary agricultural or mineral products","","Medium","Practice","developing-economies","published"
"80","Economics","Economic Development","Which of the following best promotes economic development?","Discouraging education","Investment in infrastructure and human capital","Restricting all foreign investment","Ignoring technological change","B","Investment in infrastructure, education, and skills builds productive capacity and supports long-term development","","Medium","Practice","development-strategies","published"
"81","Economics","Economic Development","Foreign direct investment (FDI) refers to","Short term speculative buying of a country's currency","Long term investment by a foreign entity in productive assets of another country","Foreign aid grants only","Domestic investment by local citizens","B","FDI involves a foreign company or individual establishing lasting business interests, such as factories, in another country","","Medium","Practice","fdi","published"
"82","Economics","Population","An increase in a country's population beyond what its resources can comfortably support is called","Under-population","Overpopulation","Optimum population","Zero population growth","B","Overpopulation occurs when population size exceeds the resources and infrastructure available to support a good standard of living","","Medium","Practice","population-concepts","published"
"83","Economics","Population","Optimum population refers to a population level at which","Resources are fully exhausted","Output per head is at its maximum given existing resources and technology","Population growth is zero","Unemployment is at its highest","B","Optimum population is the population size that maximizes output or income per person, given available resources","","Medium","Practice","population-concepts","published"
"84","Economics","Population","The natural increase in population is calculated as","Birth rate minus death rate","Birth rate plus immigration","Death rate minus emigration","Total births only","A","Natural increase in population equals the birth rate minus the death rate over a given period","","Medium","Practice","population-growth","published"
"85","Economics","Population","A rapidly growing population in a developing country is likely to strain","Only the export sector","Social services such as healthcare, education, and housing","Only the manufacturing sector","Only the tourism sector","B","Fast population growth increases demand for social services faster than government resources can typically expand them","","Medium","Practice","population-effects","published"
"86","Economics","Population","Migration from rural to urban areas in search of better opportunities is called","Emigration","Immigration","Rural-urban migration","International migration","C","Rural-urban migration is the movement of people from the countryside to cities, often in search of jobs and better services","","Medium","Practice","migration","published"
"87","Economics","Unemployment","Structural unemployment occurs when","Workers are temporarily between jobs","There is a mismatch between workers' skills and available job requirements","The economy is growing rapidly","Workers voluntarily refuse to work","B","Structural unemployment arises when workers' skills no longer match the requirements of available jobs, often due to changing industries","","Medium","Practice","types-of-unemployment","published"
"88","Economics","Unemployment","Frictional unemployment refers to","Long term joblessness due to skill mismatch","Short term unemployment as workers move between jobs","Unemployment caused by economic recession","Unemployment due to automation only","B","Frictional unemployment is the short term unemployment that occurs naturally as people search for or transition between jobs","","Medium","Practice","types-of-unemployment","published"
"89","Economics","Unemployment","Cyclical unemployment is closely associated with","Seasonal changes in weather","Fluctuations in the business cycle, especially recessions","Workers changing careers voluntarily","Permanent changes in industry structure","B","Cyclical unemployment rises during economic downturns and recessions when overall demand for goods and labour falls","","Medium","Practice","types-of-unemployment","published"
"90","Economics","Unemployment","Seasonal unemployment is most likely to affect workers in","Banking","Agriculture and tourism","Government administration","Software engineering","B","Seasonal unemployment affects industries like agriculture and tourism where demand for labour varies with the time of year","","Medium","Practice","types-of-unemployment","published"
"91","Economics","Unemployment","One major economic effect of high unemployment is","Increased national output","Reduced national output and lower tax revenue for government","Higher average wages for all workers","Elimination of poverty","B","High unemployment reduces total output in the economy and lowers government tax revenue due to fewer people earning taxable income","","Medium","Practice","effects-of-unemployment","published"
"92","Economics","Unemployment","Which government policy is most directly aimed at reducing unemployment?","Raising interest rates sharply","Public works programmes and job creation schemes","Reducing government spending on infrastructure","Increasing import tariffs on all goods","B","Public works and job creation programmes directly employ workers and stimulate demand for labour in the economy","","Medium","Practice","reducing-unemployment","published"
"93","Economics","Agriculture","In Nigeria, the agricultural sector is significant mainly because it","Contributes to GDP and provides employment for a large share of the population","Has no impact on the economy","Only produces goods for export","Requires no government support","A","Agriculture remains a major source of employment and GDP contribution in many developing economies including Nigeria","","Medium","Practice","agriculture","published"
"94","Economics","Agriculture","A major problem facing agriculture in developing countries is","Excess mechanization","Reliance on outdated tools and poor access to credit","Overproduction of all crops","Too much irrigation infrastructure","B","Many developing country farmers rely on traditional tools and lack access to credit, limiting productivity","","Medium","Practice","agriculture","published"
"95","Economics","Agriculture","Subsistence farming is best described as","Large scale commercial farming for export","Farming mainly to meet the farmer's own household needs","Farming using only modern machinery","Farming exclusively for foreign markets","B","Subsistence farming produces mainly for the consumption of the farming household rather than for sale","","Easy","Practice","agriculture","published"
"96","Economics","Agriculture","Government support for agriculture, such as fertilizer subsidies, aims mainly to","Reduce agricultural output","Increase production costs for farmers","Boost productivity and food security","Discourage rural employment","C","Subsidies like reduced fertilizer costs aim to raise agricultural productivity and strengthen food security","","Medium","Practice","agriculture","published"
"97","Economics","Industrialization","Industrialization refers to the process of","Reducing manufacturing activity","Shifting an economy from primarily agricultural to manufacturing-based activity","Increasing subsistence farming","Eliminating international trade","B","Industrialization is the transition of an economy from reliance on agriculture toward manufacturing and industry","","Medium","Practice","industrialization","published"
"98","Economics","Industrialization","A key benefit of industrialization for a developing economy is","Reduced employment opportunities","Value addition to raw materials and job creation","Total elimination of agriculture","Guaranteed absence of pollution","B","Industrialization allows raw materials to be processed into higher value goods while creating manufacturing jobs","","Medium","Practice","industrialization","published"
"99","Economics","Industrialization","Import substitution industrialization is a strategy aimed at","Increasing dependence on imported finished goods","Producing locally what was previously imported","Banning all exports","Reducing domestic production capacity","B","Import substitution industrialization focuses on developing domestic industries to replace imported goods","","Medium","Practice","industrialization","published"
"100","Economics","Industrialization","One common challenge to industrialization in developing countries is","Abundant and reliable power supply","Inadequate infrastructure such as unreliable electricity","Excess availability of skilled labour","Too much foreign investment","B","Poor infrastructure, especially inconsistent power supply, is a major constraint on industrial growth in many developing countries","","Medium","Practice","industrialization","published"
