id,subject,topic,question,optionA,optionB,optionC,optionD,answer,explanation,difficulty,tags,passage_id,passage_text
183,Physics,Lenses,"Using the lens formula 1/f = 1/u + 1/v, if the focal length is 20cm and the object distance is 60cm, find the image distance.",15cm,30cm,40cm,80cm,B,"1/v = 1/f - 1/u = 1/20 - 1/60 = 3/60 - 1/60 = 2/60, so v = 30cm",Medium,lens-formula-calculation,,
184,Physics,Wave Phenomena,Interference of waves occurs when two waves of similar frequency,Cancel each other permanently,"Overlap and combine, producing regions of reinforcement and cancellation",Travel in completely different mediums,Never meet,B,"Interference results from the superposition of two coherent waves, creating patterns of constructive and destructive combination",Medium,interference-basics,,
185,Physics,Wave Phenomena,Constructive interference occurs when two waves meet,Exactly out of phase,"In phase, so their displacements add together",At a 90 degree phase difference always,Never,B,"Constructive interference happens when waves meet in phase, so their amplitudes reinforce and add together",Medium,constructive-interference,,
186,Physics,Wave Phenomena,Diffraction refers to the,Bouncing back of a wave from a surface,Bending or spreading of waves around obstacles or through openings,Splitting of a wave into different colours,Absorption of a wave completely,B,Diffraction is the bending and spreading of waves as they pass through gaps or around obstacles,Medium,diffraction,,
187,Physics,Wave Phenomena,Polarization is a property that can only occur in,Longitudinal waves,Transverse waves,Sound waves only,All wave types equally,B,"Polarization restricts vibrations to a single plane and can only occur in transverse waves, such as light",Medium,polarization,,
188,Physics,Wave Phenomena,The fact that light can be polarized is evidence that light is a,Longitudinal wave,Transverse wave,Particle only,Sound wave,B,"Since only transverse waves can be polarized, the polarization of light confirms its transverse wave nature",Medium,polarization-evidence,,
189,Physics,Motor Effect,A current-carrying conductor placed in a magnetic field experiences a force known as the,Generator effect,Motor effect,Photoelectric effect,Thermionic effect,B,The motor effect describes the mechanical force exerted on a current-carrying conductor within a magnetic field,Medium,motor-effect-basics,,
190,Physics,Motor Effect,Fleming's left-hand rule is used to determine the direction of the,Induced current in a generator,Force on a current-carrying conductor in a magnetic field,Magnetic field of a bar magnet,Flow of heat in a conductor,B,"Fleming's left-hand rule relates the directions of magnetic field, current, and resulting force in the motor effect",Medium,flemings-left-hand-rule,,
191,Physics,Motor Effect,"In a simple electric motor, continuous rotation is achieved using a",Diode,Split-ring commutator,Capacitor,Resistor,B,"The split-ring commutator reverses current direction every half turn, maintaining continuous rotation of the motor's coil",Medium,electric-motor,,
192,Physics,Motor Effect,The force on a current-carrying conductor in a magnetic field is greatest when the conductor is,Parallel to the magnetic field,Perpendicular to the magnetic field,"At any angle, since angle does not matter",Removed from the field entirely,B,The force on a current-carrying conductor is maximum when it lies perpendicular to the magnetic field direction,Medium,motor-effect-force,,
193,Physics,Electric Cells,The electromotive force (e.m.f.) of a cell is defined as the,Current it can supply at maximum,Total energy supplied by the cell per unit charge passing through it,Resistance of the cell alone,Voltage drop across an external resistor only,B,"E.m.f. is the total electrical energy the cell supplies per unit charge, including energy used overcoming internal resistance",Medium,emf-definition,,
194,Physics,Electric Cells,The internal resistance of a cell causes the terminal voltage to be,Equal to the e.m.f. at all times,Less than the e.m.f. when current is flowing,Greater than the e.m.f. always,Completely independent of current,B,"Due to internal resistance, some of the cell's e.m.f. is used up internally, making terminal voltage lower than e.m.f. when current flows",Medium,internal-resistance,,
195,Physics,Electric Cells,"When cells are connected in series, the total e.m.f. of the combination is",The sum of the individual e.m.f.s,The average of the individual e.m.f.s,Always equal to one cell's e.m.f.,Zero,A,Cells connected in series add their e.m.f.s together to give a larger total e.m.f.,Medium,cells-in-series,,
196,Physics,Electric Cells,A primary cell differs from a secondary cell in that a primary cell,Can be recharged repeatedly,Cannot be recharged once its chemicals are used up,Produces no current at all,Requires no chemical reaction,B,"Primary cells cannot be recharged, unlike secondary cells whose chemical reactions can be reversed by recharging",Medium,primary-vs-secondary-cells,,
197,Physics,Electrical Power,Electrical power dissipated in a resistor can be calculated using the formula,P = V/I,P = VI,P = V + I,P = I/V,B,Electrical power equals the product of voltage and current: P = VI,Medium,electrical-power-formula,,
198,Physics,Electrical Power,A device rated at 100W operates at 220V. Find the current it draws.,0.45A,2.2A,22A,220A,A,"Using P = VI, I = P/V = 100/220 = 0.45A (approximately)",Medium,electrical-power-calculation,,
199,Physics,Electrical Power,The cost of electrical energy consumed is usually calculated using the unit,Watt,Kilowatt-hour,Ampere,Ohm,B,Electrical energy consumption for billing purposes is measured in kilowatt-hours (commonly called 'units'),Medium,kilowatt-hour,,
200,Physics,Electrical Power,"Using P = I^2R, if a current of 2A flows through a 5-ohm resistor, the power dissipated is",10W,20W,25W,50W,B,P = I^2 x R = 2^2 x 5 = 4 x 5 = 20W,Medium,power-calculation-i2r,,
201,Physics,Density,Density is defined as the ratio of a substance's,Mass to its weight,Mass to its volume,Weight to its volume,Volume to its mass,B,"Density equals mass divided by volume, describing how much mass is packed into a given space",Easy,density-definition,,
202,Physics,Density,Relative density of a substance is defined as the ratio of its density to the density of,Air at room temperature,Water at 4 degrees Celsius,Mercury,Any arbitrary substance,B,"Relative density (specific gravity) compares a substance's density to that of water at 4 degrees Celsius, its maximum density",Medium,relative-density,,
203,Physics,Density,A block of metal has a mass of 200g and a volume of 25cm^3. Find its density.,5 g/cm^3,8 g/cm^3,0.125 g/cm^3,225 g/cm^3,B,Density = mass/volume = 200/25 = 8 g/cm^3,Medium,density-calculation,,
204,Physics,Measurement,A micrometer screw gauge is generally used to measure,Very large distances such as building heights,"Very small lengths, such as the diameter of a thin wire",Time intervals,Electric current,B,"The micrometer screw gauge measures very small lengths with high precision, such as wire diameters",Medium,micrometer-screw-gauge,,
205,Physics,Measurement,Systematic errors in an experiment are best reduced by,Taking only one reading,Properly calibrating instruments before use,Ignoring the readings entirely,Increasing random guesswork,B,"Systematic errors, which consistently skew results in one direction, are minimized through proper instrument calibration",Medium,systematic-errors,,
206,Physics,Friction,The force of limiting friction is generally,Independent of the normal reaction between surfaces,Directly proportional to the normal reaction between the surfaces,Inversely proportional to the normal reaction,Always equal to zero,B,Limiting friction is directly proportional to the normal reaction force pressing the two surfaces together,Medium,limiting-friction,,
207,Physics,Friction,The coefficient of friction between two surfaces is defined as the ratio of,Limiting frictional force to the normal reaction,Normal reaction to limiting frictional force,Weight to frictional force,Mass to frictional force,A,Coefficient of friction equals the limiting frictional force divided by the normal reaction between the surfaces,Medium,coefficient-of-friction,,
208,Physics,Friction,One disadvantage of friction in machines is that it,Increases the efficiency of the machine,Causes wear and energy loss as heat,Prevents any motion from occurring,Always improves performance,B,Friction in machines causes unwanted energy loss as heat and leads to wear of moving parts over time,Medium,friction-disadvantages,,
209,Physics,Friction,A practical advantage of friction is that it,Makes walking and braking of vehicles possible,Always wastes energy with no benefit,Prevents any object from moving at all,Has no real-world use,A,"Friction between feet and the ground, and between tyres and the road, enables walking and effective braking",Easy,friction-advantages,,
210,Physics,Electromagnetic Spectrum,The electromagnetic spectrum is arranged in order of increasing wavelength starting from,Radio waves to gamma rays,Gamma rays to radio waves,Visible light to gamma rays only,Infrared to ultraviolet only,B,"The electromagnetic spectrum, ordered by increasing wavelength, starts with gamma rays and ends with radio waves",Medium,em-spectrum-order,,
211,Physics,Electromagnetic Spectrum,All electromagnetic waves travel through a vacuum at the,Speed of sound,"Same speed, the speed of light",Speed of the observer only,Speed dependent on their colour,B,"All electromagnetic waves, regardless of wavelength, travel at the same speed in a vacuum: the speed of light",Medium,em-wave-speed,,
212,Physics,Electromagnetic Spectrum,Ultraviolet radiation is commonly associated with,Causing sunburn and being used for sterilization,Being used mainly for cooking food,Having the longest wavelength in the spectrum,Being unable to affect living tissue,A,Ultraviolet radiation can cause sunburn from excessive exposure and is used for sterilizing equipment due to its energy,Medium,ultraviolet-radiation,,
213,Physics,Electromagnetic Spectrum,Infrared radiation is commonly used in,Remote controls and thermal imaging,Killing bacteria in hospitals only,Broadcasting radio programs,Producing gamma decay,A,"Infrared radiation is widely used in remote controls, thermal cameras, and heat-sensing applications",Easy,infrared-radiation,,
214,Physics,Electromagnetic Spectrum,Microwaves are commonly used for,Cooking food and satellite communication,Producing visible light only,Detecting radioactivity,Measuring gravitational fields,A,Microwaves are widely used in microwave ovens for cooking and in satellite and mobile communication systems,Easy,microwaves,,
215,Physics,X-rays,X-rays are produced when fast-moving electrons are suddenly,Accelerated to the speed of light,Decelerated upon striking a metal target,Cooled to absolute zero,Combined with protons,B,X-rays are produced when high-speed electrons are abruptly decelerated after striking a metal target in an X-ray tube,Medium,x-ray-production,,
216,Physics,X-rays,One major medical application of X-rays is,Measuring blood pressure,Producing images of bones and internal body structures,Curing viral infections directly,Measuring body temperature,B,"X-rays penetrate soft tissue but are absorbed by denser material like bone, allowing diagnostic imaging",Easy,x-ray-medical-use,,
217,Physics,X-rays,Excessive exposure to X-rays can be harmful to living tissue mainly because X-rays,Are completely harmless at any dose,Can ionize atoms and damage cells within the body,Only affect non-living materials,Cannot penetrate the skin at all,B,X-rays are ionizing radiation and can damage living cells and DNA with excessive or prolonged exposure,Medium,x-ray-hazards,,
