"id","subject","topic","question","option_a","option_b","option_c","option_d","correct_answer","explanation","year","difficulty","exam_type","tags","status","passage_id","passage_text"
"11","Government","Organs of Government","The doctrine of separation of powers refers to the principle that","One person or body should hold all governmental powers","Governmental powers should be divided among the Legislature, Executive, and Judiciary to prevent abuse","Only the Executive should have any real power","All government officials must belong to the same political party","B","Separation of powers distributes governmental authority among three distinct branches so that no single branch becomes too powerful, serving as a check against tyranny","","Medium","Practice","separation-of-powers","published","",""
"12","Government","Organs of Government","The system of checks and balances allows each arm of government to","Operate with absolutely no oversight from the other arms","Monitor and limit the powers of the other arms, preventing abuse of authority","Take over the responsibilities of the other arms entirely","Exist independently with no interaction between the arms","B","Checks and balances enable each arm of government to place limits on the powers of the others, ensuring accountability and preventing any single arm from becoming too dominant","","Medium","Practice","checks-and-balances","published","",""
"13","Government","Organs of Government","In a bicameral legislature, the lawmaking body is divided into","Three separate chambers","Two chambers, often called an upper house and a lower house","A single unified chamber only","Four regional assemblies","B","A bicameral legislature consists of two chambers, typically an upper house (such as a Senate) and a lower house (such as a House of Representatives)","","Medium","Practice","bicameral-legislature","published","",""
"14","Government","Organs of Government","One key advantage of an independent judiciary is that it","Allows judges to be easily removed by the Executive at will","Helps protect citizens' rights by ensuring impartial interpretation of the law, free from political interference","Eliminates the need for a written constitution","Gives the Judiciary the power to make new laws directly","B","An independent judiciary can interpret and apply the law impartially, without undue influence from the Executive or Legislature, safeguarding citizens' rights and the rule of law","","Medium","Practice","judicial-independence","published","",""
"15","Government","Nigerian Constitutional Development","The Clifford Constitution of 1922 is significant in Nigerian history mainly because it","Granted Nigeria full independence","Introduced the elective principle, allowing Nigerians to elect some members into the Legislative Council","Abolished the Legislative Council entirely","Established Nigeria's first republican constitution","B","The Clifford Constitution of 1922 introduced the elective principle for the first time, allowing a limited number of Nigerians in Lagos and Calabar to elect representatives to the Legislative Council","","Medium","Practice","clifford-constitution","published","",""
"16","Government","Nigerian Constitutional Development","The Richards Constitution of 1946 is best known for","Granting Nigeria independence from Britain","Introducing regionalism by dividing Nigeria into three regions: North, East, and West","Creating a bicameral national legislature","Abolishing all forms of representation for Nigerians","B","The Richards Constitution of 1946 divided Nigeria into three regions, laying the foundation for regionalism in Nigerian constitutional development","","Medium","Practice","richards-constitution","published","",""
"17","Government","Nigerian Constitutional Development","The Macpherson Constitution of 1951 is notable for","Introducing a fully federal system of government","Providing for greater Nigerian participation in government through regional legislatures"," ""Granting Nigeria its independence""","Establishing a purely military government","B","The Macpherson Constitution of 1951 expanded Nigerian participation in governance by establishing regional legislatures alongside a central legislature","","Medium","Practice","macpherson-constitution","published","",""
"18","Government","Nigerian Constitutional Development","The Lyttleton Constitution of 1954 is significant because it","Established Nigeria as a fully unitary state","Formally introduced a federal system of government to Nigeria","Marked the end of colonial rule in Nigeria","Abolished regional governments entirely","B","The Lyttleton Constitution of 1954 formally established a federal system of government in Nigeria, with strong regional governments and a central government","","Medium","Practice","lyttleton-constitution","published","",""
"19","Government","Nigerian Constitutional Development","Nigeria attained political independence from Britain in the year","1954","1957","1960","1963","C","Nigeria gained its political independence from British colonial rule on 1 October 1960","","Easy","Practice","nigeria-independence","published","",""
"20","Government","Nigerian Constitutional Development","Nigeria became a republic, with an indigenous Head of State replacing the British monarch as ceremonial head, in the year","1960","1963","1966","1979","B","Nigeria became a republic in 1963, adopting a new constitution and replacing the British monarch with a Nigerian President as ceremonial head of state","","Medium","Practice","1963-republican-constitution","published","",""
"21","Government","Nigerian Constitutional Development","The 1979 Constitution introduced which major change to Nigeria's system of government","A return to the parliamentary system","An American-style presidential system of government","Direct rule by the military","Abolition of political parties","B","The 1979 Constitution replaced the parliamentary system with a presidential system of government, modeled partly on the United States system","","Medium","Practice","1979-constitution","published","",""
"22","Government","Nigerian Constitutional Development","The current operational constitution of Nigeria, providing for a presidential system of government, was promulgated in","1979","1989","1999","2007","C","Nigeria's current constitution was promulgated in 1999, marking the transition from military rule to civilian democratic government, and it retains the presidential system","","Medium","Practice","1999-constitution","published","",""
"23","Government","Federalism","Federalism is a system of government in which power is","Concentrated entirely in a single central authority","Constitutionally divided between a central government and constituent regional or state governments","Held solely by traditional rulers","Exercised only by the judiciary","B","Federalism divides governmental powers between a central government and constituent units such as states or regions, each with defined areas of authority","","Medium","Practice","federalism-definition","published","",""
"24","Government","Federalism","In Nigeria's federal system, the Exclusive Legislative List contains matters over which","Only state governments may legislate","Only the Federal Government may legislate, such as defence and foreign affairs","Both federal and state governments may legislate concurrently","No government may legislate at all","B","The Exclusive Legislative List covers matters, such as defence, foreign affairs, and currency, over which only the Federal Government has the power to make laws","","Medium","Practice","exclusive-legislative-list","published","",""
"25","Government","Federalism","The Concurrent Legislative List in Nigeria's constitution refers to matters on which","Only the Federal Government can legislate","Only State Governments can legislate","Both the Federal and State Governments may legislate, with federal law prevailing in case of conflict","No level of government has any legislative authority","C","The Concurrent List allows both federal and state governments to make laws on listed matters, though federal law takes precedence if there is a conflict","","Medium","Practice","concurrent-legislative-list","published","",""
"26","Government","Federalism","One major reason Nigeria adopted a federal system of government at independence was to","Eliminate all ethnic and regional differences","Accommodate the country's diverse ethnic, religious, and regional differences within a single nation","Ensure total central control over all regions","Prevent any form of regional government","B","Federalism was adopted partly to manage Nigeria's significant ethnic, religious, and regional diversity by allowing a degree of self-governance at the regional and later state level","","Medium","Practice","reasons-for-federalism","published","",""
"27","Government","Federalism","The principle of derivation, as applied in Nigeria's revenue allocation formula, allocates a portion of revenue to","States based strictly on their population size only","States in proportion to the natural resources or revenue they contribute or generate","States based solely on land area","The Federal Government exclusively, with no allocation to states","B","The derivation principle allocates a percentage of revenue, especially from natural resources like oil, back to the states or regions where that revenue originates","","Medium","Practice","derivation-principle","published","",""
"28","Government","Federalism","The creation of additional states in Nigeria since independence has mainly been aimed at","Reducing the total population of the country","Bringing government closer to the people and addressing agitations for greater autonomy by minority groups","Eliminating the federal system entirely","Reducing the number of local governments","B","State creation exercises in Nigeria have generally aimed to bring governance closer to citizens and to respond to demands from ethnic minorities for greater political representation and autonomy","","Medium","Practice","state-creation","published","",""
"29","Government","Forms of Government","Democracy is best defined as a system of government in which","Power rests with a single hereditary ruler","Political power ultimately rests with the people, exercised directly or through elected representatives","Power is held exclusively by a religious body","Power is held permanently by the military","B","Democracy is a form of government in which supreme power lies with the people, who exercise it either directly or through freely elected representatives","","Easy","Practice","democracy-definition","published","",""
"30","Government","Forms of Government","In a monarchy, the position of head of state is typically","Won through a general election","Acquired through heredity, usually passed down within a royal family","Determined by a lottery among citizens","Rotated annually among political parties","B","A monarchy is a system where the head of state's position is typically inherited within a royal family, rather than gained through election","","Easy","Practice","monarchy","published","",""
"31","Government","Forms of Government","A dictatorship is a form of government characterized mainly by","Power being shared equally among several independent branches","Concentration of absolute power in a single ruler or small group, often without free elections","Strong and independent judicial oversight","Regular free and fair elections with multiple parties","B","A dictatorship concentrates political power in the hands of one individual or a small group, typically ruling without meaningful checks, opposition, or free elections","","Medium","Practice","dictatorship","published","",""
"32","Government","Forms of Government","A theocracy is a system of government in which political authority is derived mainly from","Popular elections","Religious leaders or doctrine, believed to represent divine authority","Military strength alone","An independent judiciary","B","In a theocracy, governmental authority is based on religious law or leadership, with rulers often seen as representing or guided by divine will","","Medium","Practice","theocracy","published","",""
"33","Government","Forms of Government","One key distinguishing feature of a direct democracy, as practised in ancient city-states, is that citizens","Elect representatives to make decisions on their behalf","Participate directly in making laws and decisions themselves, without intermediaries","Have no say in government decisions at all","Are ruled by a single hereditary monarch","B","In a direct democracy, citizens themselves participate directly in debating and deciding on laws and policies, rather than delegating this to elected representatives","","Medium","Practice","direct-democracy","published","",""
"34","Government","Forms of Government","In representative (indirect) democracy, citizens exercise political power mainly by","Making all laws themselves in mass assemblies","Electing representatives who make decisions and laws on their behalf","Handing all power permanently to the military","Allowing only religious leaders to govern","B","Representative democracy allows citizens to elect officials who then make laws and policy decisions on their behalf, since direct participation by all citizens is impractical in large modern states","","Medium","Practice","representative-democracy","published","",""
"35","Government","Systems of Government","In a unitary system of government, political power is","Concentrated mainly in a central government, which may delegate limited authority to local units","Divided constitutionally and equally between central and regional governments","Held entirely by independent regional governments","Shared equally among several sovereign states","A","In a unitary system, ultimate political authority rests with the central government, which may delegate some administrative powers to local units but retains overall control","","Medium","Practice","unitary-system","published","",""
"36","Government","Systems of Government","A key feature distinguishing a federal system from a unitary system is that in a federal system","All power rests with the central government alone","Power is constitutionally divided between a central government and constituent states, each with defined areas of authority","There is no central government at all","Regional governments have no legal recognition","B","Federalism is distinguished by a constitutional division of powers between a central authority and constituent states, each possessing defined and protected areas of jurisdiction","","Medium","Practice","federal-vs-unitary","published","",""
"37","Government","Systems of Government","A confederation is best described as a loose union of","Independent states that voluntarily cooperate on limited matters while retaining most of their sovereignty","A single state divided into unitary provinces","States with no independent decision-making powers","Regions governed entirely by a single monarch","A","A confederation is a loose association of sovereign states that cooperate on specific shared matters, such as defence or trade, while each retains most of its independent authority","","Medium","Practice","confederation","published","",""
"38","Government","Systems of Government","One major advantage often associated with a unitary system of government is","Greater accommodation of regional or ethnic diversity","Uniformity of laws and policies across the entire country, along with reduced administrative costs","Automatic elimination of central government power","Guaranteed independence for every region","B","A unitary system can promote uniform laws and policies nationwide and may reduce administrative duplication compared to a federal structure","","Medium","Practice","unitary-advantages","published","",""
"39","Government","Systems of Government","A common challenge associated with federal systems of government is","Complete elimination of regional identities","Potential conflict or duplication of authority between the central and state governments over shared areas","Total absence of a central government","Guaranteed uniformity of laws across all states","B","Federal systems can experience friction or overlapping authority between central and state governments, especially over concurrent matters","","Medium","Practice","federalism-challenges","published","",""
"40","Government","Systems of Government","Nigeria practises which system of government","A pure unitary system","A federal system, with power divided between federal, state, and local governments","A confederal system of fully independent states","An absolute monarchy","B","Nigeria operates a federal system of government, with powers constitutionally shared among the federal, state, and local government levels","","Easy","Practice","nigeria-federal-system","published","",""
"41","Government","The Constitution","A constitution is best defined as","A single unwritten tradition with no legal force","The fundamental body of rules and principles that establishes how a state is governed","A document used only during elections","A private agreement among political parties","B","A constitution is the supreme body of fundamental rules and principles governing the structure, powers, and functioning of a state","","Easy","Practice","constitution-definition","published","",""
"42","Government","The Constitution","A written constitution differs from an unwritten one mainly in that a written constitution is","Not legally binding on the government","Codified in a single formal document, unlike an unwritten constitution built up from customs, conventions, and various statutes","Only used by military governments","Always shorter than an unwritten constitution","B","A written constitution is a single formal codified document, while an unwritten constitution is composed of scattered statutes, customs, and conventions built up over time, as in the United Kingdom","","Medium","Practice","written-vs-unwritten","published","",""
"43","Government","The Constitution","A rigid constitution is one that","Can be amended through the same simple process as ordinary legislation","Requires a special, more difficult procedure to amend, compared to ordinary laws","Can never be amended under any circumstances","Exists only in unitary states","B","A rigid constitution requires a special, often more demanding, procedure for amendment, unlike a flexible constitution which can be changed as easily as ordinary law","","Medium","Practice","rigid-constitution","published","",""
"44","Government","The Constitution","The supremacy of the constitution means that","Ordinary laws take precedence over the constitution","The constitution is the highest law of the land, and any law inconsistent with it is void","Only the Executive is bound by the constitution","The constitution only applies to the Judiciary","B","Constitutional supremacy establishes the constitution as the highest legal authority, meaning any law or action that conflicts with it is null and void","","Medium","Practice","constitutional-supremacy","published","",""
"45","Government","The Constitution","One key function of a constitution is to","Abolish all government institutions","Establish and define the powers, structure, and limits of government institutions","Prevent any form of citizen participation in government","Eliminate the need for elections","B","A constitution establishes how government is structured, defines the powers and limits of its institutions, and often protects citizens' rights","","Medium","Practice","constitution-functions","published","",""
"46","Government","The Constitution","A constitutional amendment refers to","The complete abolition of a constitution","A formal change or addition made to an existing constitution through a prescribed legal procedure","An informal, unofficial suggestion for future laws","The suspension of the constitution during elections","B","A constitutional amendment is a formal alteration or addition to the constitution, carried out through the specific procedure the constitution itself prescribes","","Medium","Practice","constitutional-amendment","published","",""
"47","Government","Citizenship","Citizenship refers to the legal status that grants an individual","No rights or obligations within a state","Full membership of a state, along with certain rights and responsibilities","Temporary residence in a foreign country only","Exclusive control over government policy","B","Citizenship is the legal status of full membership in a state, which comes with specific rights, such as voting, and responsibilities, such as obeying the law","","Easy","Practice","citizenship-definition","published","",""
"48","Government","Citizenship","Citizenship acquired automatically by virtue of being born within the territory of a state is known as citizenship by","Naturalization","Birth (jus soli or jus sanguinis)","Registration only","Marriage exclusively","B","Citizenship by birth is acquired automatically through birth, whether based on being born in the state's territory (jus soli) or born to citizen parents (jus sanguinis)","","Medium","Practice","citizenship-by-birth","published","",""
"49","Government","Citizenship","Naturalization refers to the process by which","A person automatically becomes a citizen at birth","A foreigner formally applies for and is granted citizenship of a state after meeting certain legal requirements","Citizenship is permanently revoked from all citizens","Citizens lose their citizenship through marriage","B","Naturalization is the legal process through which a foreign national voluntarily applies for and is granted citizenship after satisfying conditions such as residency requirements","","Medium","Practice","naturalization","published","",""
"50","Government","Citizenship","One common duty expected of a citizen in a democratic state is to","Avoid paying taxes whenever possible","Obey the laws of the state and participate responsibly in civic life, such as voting","Refuse to perform jury duty when called upon","Avoid all forms of political participation","B","Citizens in a democracy are generally expected to obey the law and participate responsibly in civic activities such as voting and jury service","","Medium","Practice","citizen-duties","published","",""
"51","Government","Citizenship","A stateless person is best described as an individual who","Holds citizenship of two or more countries simultaneously","Is not recognized as a citizen by any state under its laws","Has renounced only their voting rights","Has dual residency in two countries","B","A stateless person is someone who is not considered a citizen or national by any state, often leaving them without the legal protections citizenship provides","","Medium","Practice","statelessness","published","",""
"52","Government","Citizenship","Dual citizenship refers to a situation where an individual","Holds no citizenship of any country","Is legally recognized as a citizen of two different countries at the same time","Can only vote in local government elections","Automatically loses citizenship of their birth country","B","Dual citizenship occurs when an individual is simultaneously recognized as a citizen by two different states, each granting certain rights and imposing certain obligations","","Medium","Practice","dual-citizenship","published","",""
"53","Government","Fundamental Human Rights","Fundamental human rights are best described as basic rights and freedoms that","Are granted only to citizens of wealthy countries","Belong to every individual by virtue of being human, and are generally protected by law","Can be freely denied by any government at will","Apply only to elected government officials","B","Fundamental human rights are basic entitlements believed to belong to every person simply by virtue of being human, and are typically enshrined and protected in law","","Easy","Practice","human-rights-definition","published","",""
"54","Government","Fundamental Human Rights","The right to a fair hearing before an impartial court is an example of a","Civil right","Social right","Economic right only","Cultural right only","A","The right to a fair hearing is a civil right, protecting individuals' access to impartial legal processes and due process of law","","Medium","Practice","civil-rights","published","",""
"55","Government","Fundamental Human Rights","The right to vote and to be voted for in elections is classified mainly as a","Civil right","Political right","Economic right","Religious right","B","The right to vote and to contest elections is classified as a political right, allowing citizens to participate in the governance of their state","","Medium","Practice","political-rights","published","",""
"56","Government","Fundamental Human Rights","Socio-economic rights, such as the right to education and healthcare, are primarily concerned with","Guaranteeing citizens' basic wellbeing and quality of life through access to essential services","Protecting citizens only from unlawful arrest","Ensuring only the right to vote","Regulating international trade agreements","A","Socio-economic rights focus on ensuring citizens have access to essential services and conditions, such as education, healthcare, and an adequate standard of living, that support their basic wellbeing","","Medium","Practice","socioeconomic-rights","published","",""
"57","Government","Fundamental Human Rights","Fundamental human rights in Nigeria's 1999 Constitution can generally be enforced by","Approaching the police station only","Instituting an action in a competent court of law for redress","Writing directly to the President with no legal process","Appealing only to traditional rulers","B","Under Nigeria's 1999 Constitution, a citizen whose fundamental rights have been violated can seek redress by instituting an action before a competent court","","Medium","Practice","rights-enforcement","published","",""
"58","Government","Rule of Law","The rule of law is a principle which holds that","The government and its officials are above the law","Everyone, including government officials, is subject to and equal before the law","Only ordinary citizens must obey the law","Laws apply differently depending on a person's social status","B","The rule of law holds that no one, including those in government, is above the law, and that all persons are equally subject to and protected by it","","Medium","Practice","rule-of-law-definition","published","",""
"59","Government","Rule of Law","According to A.V. Dicey's conception of the rule of law, one key principle is","Government officials should have unlimited discretionary powers","The absence of arbitrary power, meaning no person should be punished except for a clear breach of law established before a court","Laws should never be written down","Courts should have no authority over government actions","B","Dicey argued that the rule of law requires the absence of arbitrary power, so that a person can only be punished for a definite breach of law proved before an ordinary court","","Medium","Practice","dicey-rule-of-law","published","",""
"60","Government","Rule of Law","One major threat to the rule of law in a country is","An independent and well-functioning judiciary","Widespread corruption and executive interference that undermines equal application of the law","Regular and transparent elections","A constitution that clearly limits government power","B","Corruption and undue interference by powerful officials can undermine the equal and impartial application of the law, weakening the rule of law","","Medium","Practice","rule-of-law-threats","published","",""
"61","Government","Rule of Law","For the rule of law to be effective in a state, it generally requires","A weak and dependent judiciary","An independent judiciary capable of holding government accountable without fear or favour","The complete absence of a written constitution","Total control of the courts by the Executive arm","B","An independent judiciary, free from undue influence by the Executive or Legislature, is essential for enforcing the rule of law and holding all persons, including officials, accountable","","Medium","Practice","judicial-independence-rule-of-law","published","",""
"62","Government","Local Government","Local government can be described as the tier of government","Furthest removed from the people, dealing only with international affairs","Closest to the grassroots, responsible for administering affairs at the community level","Responsible solely for foreign policy","That has no elected officials at all","B","Local government is the level of government closest to the people, handling grassroots administrative matters such as local infrastructure, markets, and basic health services","","Medium","Practice","local-government-definition","published","",""
"63","Government","Local Government","The 1976 local government reform in Nigeria is significant mainly because it","Abolished local governments completely","Introduced a uniform system of local government across the country, with defined structures and functions","Transferred all local government powers to the Judiciary","Ended federalism in Nigeria","B","The 1976 reform standardized local government structures nationwide, giving local governments clearer functions and a more uniform system across Nigeria","","Medium","Practice","1976-local-government-reform","published","",""
"64","Government","Local Government","One major function typically assigned to local governments is","Declaring war on other nations","Provision and maintenance of local infrastructure such as markets, motor parks, and primary healthcare","Printing the national currency","Conducting national elections independently of INEC","B","Local governments are typically responsible for grassroots services, such as maintaining markets, local roads, and primary healthcare facilities","","Medium","Practice","local-government-functions","published","",""
"65","Government","Local Government","A major source of revenue for local governments in Nigeria is","Direct foreign aid only","Statutory allocation from the Federation Account, along with internally generated revenue","Personal donations from the President","Revenue collected exclusively from other countries","B","Local governments in Nigeria rely mainly on statutory allocations from the Federation Account, supplemented by revenue they generate internally, such as local taxes and levies","","Medium","Practice","local-government-revenue","published","",""
"66","Government","Local Government","One common challenge facing local governments in Nigeria is","Excessive financial autonomy from state governments","Over-dependence on and interference from state governments, limiting their effectiveness","Too much direct control by the Judiciary","Complete absence of any statutory functions","B","Local governments in Nigeria often face challenges such as excessive control and financial interference from state governments, which can limit their autonomy and effectiveness","","Medium","Practice","local-government-challenges","published","",""
"67","Government","Public Administration","Public administration refers mainly to the","Process by which government policies and programmes are implemented by civil servants and government agencies","Process of electing government officials","Activities of political parties during campaigns","Legislative process of debating and passing bills","A","Public administration involves the implementation of government policies and programmes through the civil service and various government agencies","","Medium","Practice","public-administration-definition","published","",""
"68","Government","Public Administration","The civil service is best described as the body of","Elected political officials who change with each new government","Permanent, professional government employees who implement policy regardless of which political party is in power","Military officers who oversee government operations","Judges who interpret the constitution","B","The civil service consists of permanent, professional employees who carry out the day-to-day administrative work of government, remaining in post regardless of changes in the ruling political party","","Medium","Practice","civil-service-definition","published","",""
"69","Government","Public Administration","One key principle underlying an effective civil service is","Political favouritism in recruitment and promotion","Political neutrality, allowing civil servants to serve any government impartially","Complete lack of accountability for civil servants","Direct control of the civil service by a single political party","B","A core principle of the civil service is political neutrality, meaning civil servants are expected to serve the government of the day impartially, regardless of its political affiliation","","Medium","Practice","civil-service-neutrality","published","",""
"70","Government","Public Administration","Bureaucracy in public administration generally refers to","A system of government characterized by hierarchical structure, defined rules, and specialized roles among officials","A system with no rules or hierarchy at all","A form of government led solely by traditional rulers","The complete absence of government departments","A","Bureaucracy describes an administrative system organized in a hierarchy, with defined rules, procedures, and specialized roles carried out by officials","","Medium","Practice","bureaucracy","published","",""
"71","Government","Public Administration","One common criticism of bureaucratic administration is that it can lead to","Very fast and flexible decision-making","Excessive red tape and rigid adherence to procedure, which can slow down decision-making","Complete absence of any established rules","Total elimination of hierarchy within organizations","B","A frequent criticism of bureaucracy is that its emphasis on rules and procedures can result in excessive red tape, slowing down administrative decision-making","","Medium","Practice","bureaucracy-criticism","published","",""
"72","Government","Political Parties","A political party is best defined as an organized group of people who","Share no common political goals whatsoever","Share similar political ideas and goals, and seek to win elections in order to control government"," ""Exist solely to organize sporting events""","Are legally barred from contesting elections","B","A political party is an organized group of individuals sharing similar political views and goals, who work to win elections and gain control of government to implement their policies","","Medium","Practice","political-party-definition","published","",""
"73","Government","Political Parties","One major function of political parties in a democracy is to","Prevent citizens from voting in elections","Aggregate and articulate the interests of different groups in society, and present policy alternatives to voters","Abolish the electoral process entirely","Ensure that only one candidate ever contests an election","B","Political parties help combine and express the varied interests of different groups in society, offering voters distinct policy platforms and candidates to choose from","","Medium","Practice","party-functions","published","",""
"74","Government","Political Parties","A one-party system is a political system in which","Multiple parties compete freely in elections","Only a single political party is legally permitted to exist and contest elections","No political party is allowed to exist","Political parties change their names every election cycle","B","In a one-party system, only one political party is legally permitted, and it typically dominates or monopolizes the political process without competition from rival parties","","Medium","Practice","one-party-system","published","",""
"75","Government","Political Parties","A major advantage often associated with a multi-party system is that it","Eliminates any form of political competition","Offers voters a wider range of political choices and policy alternatives, encouraging accountability","Guarantees that only one party ever wins elections","Removes the need for elections altogether","B","A multi-party system gives voters a broader range of political parties and policy options to choose from, which can promote competition and greater government accountability","","Medium","Practice","multi-party-system","published","",""
"76","Government","Political Parties","Political parties are typically funded through sources that may include","Membership dues, donations, and in some countries, public funding","Exclusively foreign government grants","Only funds seized from rival political parties","Revenue generated from taxing citizens directly","A","Political parties commonly raise funds through membership dues, private donations, fundraising activities, and in some countries, a degree of public or state funding","","Medium","Practice","party-funding","published","",""
"77","Government","Electoral Process","An electoral process refers to the entire system and procedures by which","Government officials are appointed without any public input","Citizens vote to choose their representatives and leaders in free and periodic elections","Laws are made without legislative involvement","The judiciary is selected through public voting exclusively","B","The electoral process encompasses the full system of procedures, from voter registration to voting and result declaration, through which citizens choose their political representatives","","Medium","Practice","electoral-process-definition","published","",""
"78","Government","Electoral Process","In Nigeria, the body constitutionally responsible for organizing and conducting elections is the","National Assembly","Independent National Electoral Commission (INEC)","Nigerian Police Force","Federal Ministry of Justice","B","INEC, the Independent National Electoral Commission, is the constitutionally established body responsible for organizing, conducting, and supervising elections in Nigeria","","Easy","Practice","inec","published","",""
"79","Government","Electoral Process","The secret ballot system in elections is designed mainly to","Allow election officials to know exactly how each voter voted","Protect voters from intimidation by ensuring their voting choice remains confidential","Make voting compulsory for every citizen","Eliminate the need for voter registration","B","The secret ballot ensures that a voter's specific choice remains confidential, protecting them from intimidation, coercion, or victimization based on how they voted","","Medium","Practice","secret-ballot","published","",""
"80","Government","Electoral Process","Universal adult suffrage refers to the principle that","Only wealthy citizens have the right to vote","All adult citizens who meet the basic legal age and residency requirements have the right to vote, regardless of gender, wealth, or ethnicity","Only male citizens are permitted to vote","Voting is restricted to government officials only","B","Universal adult suffrage means that all qualifying adult citizens have the right to vote, without restrictions based on factors such as gender, income, or ethnic origin","","Medium","Practice","universal-suffrage","published","",""
"81","Government","Electoral Process","Election malpractice, such as ballot box snatching and vote buying, mainly undermines","The efficiency of the postal service","The credibility, fairness, and legitimacy of the electoral process","The functioning of the judiciary alone","The population census process","B","Practices like ballot box snatching and vote buying distort the true will of the electorate, undermining the credibility and legitimacy of elections","","Medium","Practice","election-malpractice","published","",""
"82","Government","Electoral Process","A free and fair election is generally characterized by","Restriction of voting to a single political party's supporters","Equal opportunity for all eligible candidates and parties to contest, and for citizens to vote without intimidation or manipulation","Predetermined results announced before voting begins","Total exclusion of election observers","B","A free and fair election allows all eligible parties and candidates equal opportunity to contest, and citizens the ability to vote freely without intimidation, fraud, or manipulation of results","","Medium","Practice","free-and-fair-elections","published","",""
"83","Government","Public Opinion and Pressure Groups","Public opinion refers to the","Personal view of a single government official","Collective attitudes and views held by a significant number of people in society on a particular issue","Official position of the judiciary alone","View expressed only by the ruling political party","B","Public opinion represents the collective attitudes and viewpoints shared by a substantial portion of the population regarding particular issues or events","","Medium","Practice","public-opinion-definition","published","",""
"84","Government","Public Opinion and Pressure Groups","A pressure group is best described as an organized group that seeks to","Directly contest and win elections to form a government","Influence government policy or decisions in favour of its interests, without seeking to hold political office itself","Abolish the government entirely","Replace political parties as the primary electoral vehicle","B","A pressure group works to influence government decisions and policies in favour of its members' interests, but unlike a political party, it does not typically seek to win elections and govern directly","","Medium","Practice","pressure-group-definition","published","",""
"85","Government","Public Opinion and Pressure Groups","A key distinction between a political party and a pressure group is that a political party","Never tries to influence government policy","Seeks to contest elections and gain control of government, while a pressure group typically does not","Has no members or organized structure","Is always illegal in a democracy","B","Unlike pressure groups, political parties specifically aim to contest elections and take control of government, rather than simply influencing policy from outside","","Medium","Practice","party-vs-pressure-group","published","",""
